Latitude, Longitude;;
0,38.7595162,-9.223677009460125;;
1,38.72240025,-9.396909171649877;;
2,38.7077507,-9.1365919;;
3,38.8578642,-9.175816056948255;;
4,-26.1150943,-49.8035982;;
5,38.7953835,-9.18782210264363;;
6,38.7124971,-9.271300382407272;;
7,38.8355605,-9.352225245746453;;
8,38.912368400000005,-8.988824041991643;;
9,38.7560499,-8.9608437;;
10,38.6764302,-9.1649974;; 
11,38.6340657,-9.047856727251068;; 
12,40.4431658,-8.4167067;; 
13,38.9098936,-6.6151799;; 
14,38.569601,-8.9011653;; 
15,38.6422246,-9.1072662;; 
16,38.4454915,-9.099472824318077;;
17,38.51736365,-8.896340729307994;; 
18,45.420063,12.3751361;; 
