Latitude, Longitude, Municipality
38.7595162,-9.223677009460125,Amadora 
38.72240025,-9.396909171649877,Cascais
38.7077507,-9.1365919,Lisbon
38.8578642,-9.175816056948255,Loures
38.9369,-9.32639,Mafra
38.7953835,-9.18782210264363,Odivelas
38.7124971,-9.271300382407272,Oeiras
38.8355605,-9.352225245746453,Sintra
38.912368400000005,-8.988824041991643,Vila Franca de Xira
38.7560499,-8.9608437,Alcochete
38.6764302,-9.1649974,Almada
38.6340657,-9.047856727251068,Barreiro
40.4431658,-8.4167067,Moita
38.9098936,-6.6151799,Montijo
38.569601,-8.9011653,Palmela
38.6422246,-9.1072662,Seixal
38.4454915,-9.099472824318077,Sesimbra
38.51736365,-8.896340729307994,Setúbal
45.420063,12.3751361,
